rank,ntaname,priority_class,final_score,strategic_potential,roi_months,estimated_monthly_revenue,monthly_profit,safety_margin,revenue_volatility,income_score,transit_score,competition_score,mixed_use_score,subway_score,median_income,daily_pickups,competitor_count,commercial_ratio,subway_ridership
1.0,Sunnyside,Quick ROI,77.56480823197796,68.70641129095515,5.488557813892693,54353.205645477574,27329.583669560423,50.28145689845685,20.945857517343704,54.62625333321854,73.15634218289085,72.5,59.65172873237995,84.85410105607674,95551.50399986225,5075,11,0.29825864366189975,86182.11037272163
2.0,Financial District-Battery Park City,Quick ROI,77.16757811998075,68.08943573727606,5.529124983577334,54044.71786863803,27129.06661461472,50.197443310843205,16.485237330340496,61.3088086357296,81.41592920353983,42.5,68.35721260601899,88.62732923366426,103570.57036287551,5103,23,0.34178606303009496,89569.71900811886
3.0,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,Quick ROI,75.53696974142159,65.56346136963975,5.701660620543405,52781.73068481988,26308.12494513292,49.84324046179711,10.70998726456569,45.93711897835325,95.57522123893806,50.0,68.57832035314374,73.38694662146136,85124.5427740239,5151,20,0.6571083982342814,75886.88581755734
4.0,Sunnyside Yards (North),Quick ROI,74.11323170160765,63.36723931580623,5.8606678318141325,51683.61965790312,25594.352777637025,49.52120797081848,15.008919870769976,61.637407895987586,44.24778761061947,55.00000000000001,77.58605601422603,82.35210708775766,103964.8894751851,4977,18,0.3879302800711302,83935.8172852443
5.0,Glendale,Quick ROI,73.43553548908497,62.325075979022294,5.93926514749262,51162.53798951115,25255.649693182248,49.3635591306278,23.168205542616985,67.78195994077743,75.51622418879056,32.5,63.21751160900795,71.46857207359318,111338.35192893291,5083,27,0.6839124419549603,74164.56692285438
6.0,Upper East Side-Yorkville,Quick ROI,73.42295533600023,62.30575059599636,5.940742532396386,51152.87529799818,25249.36894369882,49.360605433428944,11.952055375320077,64.73214071421725,64.30678466076697,37.5,69.92198616078122,76.36530280585733,107678.5688570607,5045,25,0.6503900691960939,78560.85745528624
7.0,Greenwich Village,Quick ROI,73.33461523053283,62.17006550100672,5.951136105106795,51085.032750503364,25205.271287827185,49.339835820265435,11.594242331270832,66.7248814778354,34.21828908554572,60.0,57.71834358651212,89.93717888230951,110069.85777340247,4943,16,0.2885917179325606,90745.70354231147
8.0,Mount Olivet & All Faiths Cemeteries,Quick ROI,72.95941361470094,61.59419587891208,5.995655868969469,50797.09793945604,25018.113660646428,49.25106881197224,18.614793560861756,94.17019097061706,41.29793510324484,15.0,89.29908130988773,66.98599459562845,143004.22916474048,4967,34,0.5535045934505614,70140.1036626178
9.0,Brownsville,Quick ROI,72.91341392806605,61.52364122173698,6.001156207464207,50761.82061086849,24995.183397064517,49.24012396772242,21.938230518617708,50.24325601751808,59.587020648967545,32.5,80.04010345318389,92.69703784793182,90291.9072210217,5029,27,0.5997994827340806,93223.50812353303
10.0,Ozone Park,Quick ROI,72.61574798518413,61.06732969070381,6.036974743857224,50533.6648453519,24846.882149478733,49.16896929110052,12.473230033550248,48.20387397733768,71.68141592920354,52.5,96.55288434408384,48.48572679458054,87844.64877280522,5070,19,0.48276442172041917,53530.54176751351
